# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   77       2.714090849340e-10       5.639987241007e-14      -1.227014121746e-12       2.374141837772e-16       1.923482615196e-11       2.522542643229e-12      -9.314801382785e-15 
   78       2.749276683769e-10       5.832844556499e-14      -1.297384653916e-12       2.436436987144e-16       1.864104342711e-11       2.457105656085e-12      -9.162902166758e-15 
   79       2.784777518570e-10       6.027764528381e-14      -1.369121304409e-12       2.499550478207e-16       1.807034319559e-11       2.394062720136e-12      -9.013039018290e-15 
   80       2.820588879539e-10       6.224632310273e-14      -1.442187943707e-12       2.563484548442e-16       1.752016101232e-11       2.333148469721e-12      -8.863782324346e-15 
   81       2.856717299610e-10       6.423299743205e-14      -1.516540648065e-12       2.628241103671e-16       1.699014973308e-11       2.274335107989e-12      -8.715743852200e-15 
   82       2.893170463610e-10       6.623604602501e-14      -1.592131725913e-12       2.693822059465e-16       1.648036348279e-11       2.217637517469e-12      -8.570114442261e-15 
   83       2.929953596830e-10       6.825377418844e-14      -1.668911149263e-12       2.760229465826e-16       1.599060128155e-11       2.163042796576e-12      -8.428141780302e-15 
   84       2.967069327256e-10       7.028441386376e-14      -1.746826541423e-12       2.827465511304e-16       1.552039583260e-11       2.110509018982e-12      -8.291131171624e-15 
   85       3.004517547807e-10       7.232612270803e-14      -1.825823164716e-12       2.895532527111e-16       1.506900231016e-11       2.059963992998e-12      -8.160446315217e-15 
   86       3.042295278561e-10       7.437698317494e-14      -1.905843908195e-12       2.964432991240e-16       1.463538714733e-11       2.011304020944e-12      -8.037510077927e-15 
   87       3.080396528996e-10       7.643500159583e-14      -1.986829275357e-12       3.034169532580e-16       1.421821682401e-11       1.964392658530e-12      -7.923805268614e-15 
   88       3.118812160221e-10       7.849810726076e-14      -2.068717371860e-12       3.104744935030e-16       1.381584665479e-11       1.919059474229e-12      -7.820875412319e-15 
   89       3.157533141754e-10       8.056423756431e-14      -2.151445837253e-12       3.176162196540e-16       1.342671267748e-11       1.875140646851e-12      -7.729873694830e-15 
   90       3.196561207646e-10       8.263161075341e-14      -2.234958014225e-12       3.248424707866e-16       1.305060221052e-11       1.832610760985e-12      -7.650127020271e-15 
   91       3.235899625913e-10       8.469849447073e-14      -2.319197728982e-12       3.321536109574e-16       1.268756287459e-11       1.791469496416e-12      -7.580347079371e-15 
   92       3.275549867100e-10       8.676312386375e-14      -2.404107449982e-12       3.395500244474e-16       1.233751213381e-11       1.751701025126e-12      -7.519056215737e-15 
   93       3.315511517366e-10       8.882370195525e-14      -2.489628304780e-12       3.470321162565e-16       1.200023212253e-11       1.713273397454e-12      -7.464581431033e-15 
   94       3.355782191575e-10       9.087840001360e-14      -2.575700096861e-12       3.546003125972e-16       1.167536447223e-11       1.676137928266e-12      -7.415048390160e-15 
   95       3.396357446387e-10       9.292535792320e-14      -2.662261322486e-12       3.622550613884e-16       1.136240513836e-11       1.640228583117e-12      -7.368375426442e-15 
   96       3.437230693338e-10       9.496268455484e-14      -2.749249187527e-12       3.699968327494e-16       1.106069922717e-11       1.605461364422e-12      -7.322267546796e-15 
   97       3.478393111939e-10       9.698845813610e-14      -2.836599624309e-12       3.778261194938e-16       1.076943582261e-11       1.571733697614e-12      -7.274210436922e-15 
   98       3.519833562755e-10       9.900072662170e-14      -2.924247308448e-12       3.857434376230e-16       1.048764281315e-11       1.538923817315e-12      -7.221464466477e-15 
   99       3.561541307682e-10       1.009975361984e-13      -3.012125901848e-12       3.937493282585e-16       1.021440979903e-11       1.506920031969e-12      -7.161691534346e-15 
  100       3.603514798273e-10       1.029770206058e-13      -3.100168784567e-12       4.018443626807e-16       9.949604021628e-12       1.475714574255e-12      -7.094949871283e-15 
  101       3.645753976535e-10       1.049373252141e-13      -3.188308458378e-12       4.100291389244e-16       9.693246700916e-12       1.445321965293e-12      -7.021971961750e-15 
  102       3.688257526583e-10       1.068765807203e-13      -3.276476349193e-12       4.183042809095e-16       9.445291623692e-12       1.415750073617e-12      -6.943558565549e-15 
  103       3.731022821753e-10       1.087929038602e-13      -3.364602826646e-12       4.266704389522e-16       9.205622735045e-12       1.386999863493e-12      -6.860580393796e-15 
  104       3.774045871718e-10       1.106843981194e-13      -3.452617223671e-12       4.351282902765e-16       8.974051729821e-12       1.359065143256e-12      -6.773979784887e-15 
  105       3.817321269602e-10       1.125491544446e-13      -3.540447856084e-12       4.436785395254e-16       8.750315644089e-12       1.331932313632e-12      -6.684772380469e-15 
  106       3.860842139095e-10       1.143852519556e-13      -3.628022042166e-12       4.523219192719e-16       8.534074446604e-12       1.305580116073e-12      -6.594048801408e-15 
  107       3.904600081567e-10       1.161907586560e-13      -3.715266122239e-12       4.610591905311e-16       8.324908630276e-12       1.279979381083e-12      -6.502976323757e-15 
  108       3.948585123186e-10       1.179637321451e-13      -3.802105478251e-12       4.698911432707e-16       8.122316803634e-12       1.255092776544e-12      -6.412800554729e-15 
  109       3.992785662027e-10       1.197022203290e-13      -3.888464553356e-12       4.788185969226e-16       7.925713282290e-12       1.230874556049e-12      -6.324847108661e-15 
  110       4.037190371724e-10       1.214043156693e-13      -3.974267760572e-12       4.878423661449e-16       7.734560173025e-12       1.207282135914e-12      -6.240275179080e-15 
  111       4.081794302759e-10       1.230683242921e-13      -4.059442298916e-12       4.969631520312e-16       7.548788005668e-12       1.184313050080e-12      -6.159298815113e-15 
  112       4.126593466667e-10       1.246926199533e-13      -4.143915735997e-12       5.061816378701e-16       7.368424676001e-12       1.161972275658e-12      -6.081868658186e-15 
  113       4.171582916030e-10       1.262755936595e-13      -4.227615179147e-12       5.154985228185e-16       7.193464690953e-12       1.140260693138e-12      -6.007910383491e-15 
  114       4.216756710824e-10       1.278156549057e-13      -4.310467303738e-12       5.249145220708e-16       7.023868081859e-12       1.119174950981e-12      -5.937323937587e-15 
  115       4.262107884760e-10       1.293112329128e-13      -4.392398381504e-12       5.344303670292e-16       6.859559317724e-12       1.098707330192e-12      -5.869982776000e-15 
  116       4.307628411628e-10       1.307607778652e-13      -4.473334308858e-12       5.440468054731e-16       6.700426218479e-12       1.078845608905e-12      -5.805733100827e-15 
  117       4.353309171641e-10       1.321627621482e-13      -4.553200635210e-12       5.537646017290e-16       6.546318868243e-12       1.059572926962e-12      -5.744393098338e-15 
  118       4.399139917781e-10       1.335156815857e-13      -4.631922591287e-12       5.635845368403e-16       6.397048528584e-12       1.040867650497e-12      -5.685752176572e-15 
  119       4.445109242137e-10       1.348180566781e-13      -4.709425117452e-12       5.735074087372e-16       6.252386551779e-12       1.022703236516e-12      -5.629570202947e-15 
  120       4.491204542253e-10       1.360684338391e-13      -4.785632892021e-12       5.835340324062e-16       6.112063294073e-12       1.005048097476e-12      -5.575576741852e-15 
  121       4.537411987472e-10       1.372653866341e-13      -4.860470359583e-12       5.936652400603e-16       5.975767028942e-12       9.878654658684e-13      -5.523470292257e-15 
  122       4.583716485275e-10       1.384075170170e-13      -4.933861759318e-12       6.039018813082e-16       5.843142860349e-12       9.711132588011e-13      -5.472917525308e-15 
  123       4.630103441266e-10       1.394935032863e-13      -5.005732047075e-12       6.142448061369e-16       5.713869341038e-12       9.547530402097e-13      -5.423598215088e-15 
  124       4.676564339744e-10       1.405222475525e-13      -5.076009721217e-12       6.246948112806e-16       5.587900608854e-12       9.387783617695e-13      -5.375347499499e-15 
  125       4.723091743793e-10       1.414927476229e-13      -5.144624376298e-12       6.352526879819e-16       5.465250148980e-12       9.231894377950e-13      -5.328028601876e-15 
  126       4.769677539726e-10       1.424040533901e-13      -5.211505873364e-12       6.459192386613e-16       5.345915109958e-12       9.079842760461e-13      -5.281488202923e-15 
  127       4.816312917538e-10       1.432552684367e-13      -5.276584375304e-12       6.566952769526e-16       5.229875828325e-12       8.931586138878e-13      -5.235556037815e-15 
  128       4.862988351365e-10       1.440455516407e-13      -5.339790382206e-12       6.675816277370e-16       5.117095353237e-12       8.787058544499e-13      -5.190044493311e-15 
  129       4.909693579935e-10       1.447741187806e-13      -5.401054766701e-12       6.785791271774e-16       5.007518971099e-12       8.646170027868e-13      -5.144748204855e-15 
  130       4.956417587030e-10       1.454402441405e-13      -5.460308809318e-12       6.896886227537e-16       4.901073730198e-12       8.508806020372e-13      -5.099443653689e-15 
  131       5.003148581935e-10       1.460432621153e-13      -5.517484233831e-12       7.009109732966e-16       4.797667965330e-12       8.374826695835e-13      -5.053888763955e-15 
  132       5.049873979897e-10       1.465825688157e-13      -5.572513242613e-12       7.122470490226e-16       4.697190822428e-12       8.244066332120e-13      -5.007822499804e-15 
  133       5.096580382581e-10       1.470576236736e-13      -5.625328551986e-12       7.236977315686e-16       4.599511783195e-12       8.116332672724e-13      -4.960964462505e-15 
  134       5.143253558524e-10       1.474679510468e-13      -5.675863427569e-12       7.352639140260e-16       4.504480189732e-12       7.991406288373e-13      -4.913014487547e-15 
  135       5.189878423593e-10       1.478131418246e-13      -5.724051719632e-12       7.469465009756e-16       4.411924769168e-12       7.869039938622e-13      -4.863652241752e-15 
  136       5.236439021436e-10       1.480928550326e-13      -5.769827898445e-12       7.587464085224e-16       4.321653158287e-12       7.748957933452e-13      -4.812536820376e-15 
  137       5.282919866089e-10       1.483068472312e-13      -5.813127765919e-12       7.706645182443e-16       4.233492735647e-12       7.630916882521e-13      -4.759387531796e-15 
  138       5.329310167953e-10       1.484550607460e-13      -5.853890598811e-12       7.827015335903e-16       4.147418892896e-12       7.514896389095e-13      -4.704236539091e-15 
  139       5.375600010094e-10       1.485375476536e-13      -5.892057295357e-12       7.948581086187e-16       4.063439197336e-12       7.400926970393e-13      -4.647201719406e-15 
  140       5.421779014535e-10       1.485544445718e-13      -5.927569758153e-12       8.071348924942e-16       3.981553064200e-12       7.289030194028e-13      -4.588407933468e-15 
  141       5.467836331362e-10       1.485059744420e-13      -5.960370933798e-12       8.195325292294e-16       3.901751543469e-12       7.179218429239e-13      -4.527987138011e-15 
  142       5.513760627821e-10       1.483924483101e-13      -5.990404852540e-12       8.320516574271e-16       3.824017106689e-12       7.071494598133e-13      -4.466078498192e-15 
  143       5.559540077423e-10       1.482142671087e-13      -6.017616667914e-12       8.446929100219e-16       3.748323433785e-12       6.965851926916e-13      -4.402828500014e-15 
  144       5.605162349040e-10       1.479719234380e-13      -6.041952696392e-12       8.574569140231e-16       3.674635199880e-12       6.862273697135e-13      -4.338391062744e-15 
  145       5.650614596014e-10       1.476660033475e-13      -6.063360457019e-12       8.703442902559e-16       3.602907862106e-12       6.760732996908e-13      -4.272927651334e-15 
  146       5.695883445251e-10       1.472971881181e-13      -6.081788711062e-12       8.833556531038e-16       3.533087446426e-12       6.661192472164e-13      -4.206607388842e-15 
  147       5.740954986327e-10       1.468662560428e-13      -6.097187501649e-12       8.964916102507e-16       3.465110334446e-12       6.563604077880e-13      -4.139607168848e-15 
  148       5.785814760587e-10       1.463740842087e-13      -6.109508193415e-12       9.097527624228e-16       3.398903050234e-12       6.467908829314e-13      -4.072111767882e-15 
  149       5.830447750250e-10       1.458216502788e-13      -6.118703512144e-12       9.231397031308e-16       3.334382047131e-12       6.374036553245e-13      -4.004313957835e-15 
  150       5.874838367505e-10       1.452100342728e-13      -6.124727584411e-12       9.366530184117e-16       3.271453494574e-12       6.281905639208e-13      -3.936414618384e-15 
  151       5.918970443616e-10       1.445404203494e-13      -6.127535977229e-12       9.502932865712e-16       3.210013064907e-12       6.191422790728e-13      -3.868622849413e-15 
